2022-10-18 15:27:52.676 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-10-18 15:27:52.677 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2022-10-18 15:27:52.832 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/base] - Initializing Spring embedded WebApplicationContext
2022-10-18 15:27:52.833 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3203 ms
2022-10-18 15:27:53.484 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-10-18 15:27:53.585 [Druid-ConnectionPool-Create-249283263] INFO  com.alibaba.druid.pool.DruidAbstractDataSource - {dataSource-1} failContinuous is true
2022-10-18 15:41:02.871 [main] INFO  com.xzkj.smsService.OperatorApplication - Starting SmsApplication on localhost with PID 2965 (/Users/yoca-391/Desktop/works/csp_5G/service/service_sms/target/classes started by yoca-391 in /Users/yoca-391/Desktop/works/csp_5G)
2022-10-18 15:41:02.877 [main] INFO  com.xzkj.smsService.OperatorApplication - The following profiles are active: dev
2022-10-18 15:41:04.245 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-10-18 15:41:04.251 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2022-10-18 15:41:04.313 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20ms. Found 0 repository interfaces.
2022-10-18 15:41:04.969 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-10-18 15:41:06.181 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2022-10-18 15:41:06.207 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2022-10-18 15:41:06.209 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-10-18 15:41:06.209 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2022-10-18 15:41:06.362 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/base] - Initializing Spring embedded WebApplicationContext
2022-10-18 15:41:06.362 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3384 ms
2022-10-18 15:41:06.989 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
